id,host_id,price,neighbourhood,room_type,number_of_reviews,property_type,accommodates,bedrooms,bathrooms,price_raw,price_outlier_iqr
32127471,208851751,95.0,Kitsilano,Private room,39,Private room in home,2,1.0,1.0,$95.00,False
32135798,125368592,35.0,Downtown,Private room,11,Private room in condo,1,1.0,1.0,$35.00,False
32162289,241277666,304.0,Fairview,Entire home/apt,203,Entire rental unit,6,2.0,1.0,$304.00,False
32164701,30236899,125.0,Riley Park,Entire home/apt,21,Entire guest suite,4,2.0,1.0,$125.00,False
32609766,64681793,129.0,Hastings-Sunrise,Entire home/apt,203,Entire guest suite,2,1.0,1.0,$129.00,False
32611986,41498749,89.0,Downtown Eastside,Entire home/apt,64,Entire condo,4,2.0,1.0,$89.00,False
32638572,7660215,200.0,Downtown Eastside,Entire home/apt,14,Camper/RV,2,0.0,0.0,$200.00,False
32646786,924826,132.0,Kitsilano,Entire home/apt,474,Entire guest suite,2,1.0,1.0,$132.00,False
32715187,238308886,149.0,West End,Entire home/apt,22,Entire rental unit,2,0.0,1.0,$149.00,False
32750167,99161830,302.0,Hastings-Sunrise,Entire home/apt,148,Entire guest suite,6,3.0,2.0,$302.00,False
32751875,63313394,111.0,Downtown,Private room,13,Private room in condo,1,1.0,1.0,$111.00,False
32791067,31065,75.0,Sunset,Entire home/apt,15,Entire rental unit,2,1.0,1.0,$75.00,False
32819750,21563921,525.0,Downtown,Entire home/apt,110,Entire condo,6,3.0,2.0,$525.00,True
32872579,247315335,321.0,Kitsilano,Entire home/apt,151,Entire home,4,2.0,2.0,$321.00,False
32876783,247352950,818.0,Downtown,Entire home/apt,26,Entire rental unit,5,2.0,2.0,$818.00,True
32913732,238308886,99.0,West End,Entire home/apt,12,Entire rental unit,2,1.0,1.0,$99.00,False
32962975,248075656,225.0,Renfrew-Collingwood,Private room,107,Private room in home,7,3.0,1.0,$225.00,False
33073432,248904733,105.0,Victoria-Fraserview,Entire home/apt,224,Entire guest suite,4,2.0,1.0,$105.00,False
33098749,1880385,153.0,Arbutus Ridge,Entire home/apt,185,Entire guest suite,2,1.0,1.0,$153.00,False
33118246,131708410,219.0,Downtown,Entire home/apt,93,Entire rental unit,5,2.0,2.0,$219.00,False
33162928,249098528,182.0,West Point Grey,Entire home/apt,20,Entire guesthouse,2,1.0,1.0,$182.00,False
33166483,249718766,285.0,Downtown,Entire home/apt,260,Entire condo,5,2.0,2.0,$285.00,False
33230188,250216111,69.0,Sunset,Private room,130,Private room in home,2,1.0,1.0,$69.00,False
33276869,36912748,592.0,Mount Pleasant,Entire home/apt,158,Entire home,16,6.0,2.5,$592.00,True
33288404,555474,220.0,Downtown,Entire home/apt,72,Entire loft,2,1.0,1.0,$220.00,False
33350822,194946655,319.0,West End,Entire home/apt,2,Entire rental unit,2,1.0,1.0,$319.00,False
33551463,250216111,60.0,Sunset,Private room,82,Private room in home,2,1.0,1.0,$60.00,False
33556644,252855347,240.0,Kitsilano,Entire home/apt,47,Entire home,4,2.0,1.0,$240.00,False
33610721,238308886,66.0,West End,Entire home/apt,13,Entire condo,2,1.0,1.0,$66.00,False
33610726,238308886,99.0,West End,Entire home/apt,17,Entire rental unit,2,1.0,1.0,$99.00,False
33644437,9016662,115.0,Downtown,Entire home/apt,4,Entire condo,1,1.0,1.0,$115.00,False
33740118,254332984,96.0,Kensington-Cedar Cottage,Entire home/apt,307,Entire guest suite,2,1.0,1.0,$96.00,False
33811246,132356031,84.0,Kerrisdale,Private room,108,Private room in home,2,1.0,1.0,$84.00,False
33856997,255652048,140.0,Oakridge,Entire home/apt,39,Entire home,4,2.0,1.0,$140.00,False
33885009,238343734,113.0,Renfrew-Collingwood,Entire home/apt,223,Entire home,4,2.0,1.0,$113.00,False
33885031,11949961,90.0,Grandview-Woodland,Private room,251,Private room in home,2,1.0,1.0,$90.00,False
33939614,924826,452.0,Kitsilano,Entire home/apt,7,Entire home,7,3.0,3.0,$452.00,True
33945029,5888125,192.0,Grandview-Woodland,Entire home/apt,138,Entire home,5,2.0,1.0,$192.00,False
33945282,132356031,82.0,Kerrisdale,Private room,61,Private room in home,2,1.0,1.0,$82.00,False
33997048,30812904,1913.0,Kerrisdale,Entire home/apt,2,Entire home,8,4.0,5.5,"$1,913.00",True
34019239,20777865,164.0,Kensington-Cedar Cottage,Entire home/apt,241,Entire guest suite,7,3.0,1.0,$164.00,False
34091763,257431562,70.0,Killarney,Private room,137,Private room in home,1,1.0,1.0,$70.00,False
34126347,257679453,120.0,Dunbar Southlands,Entire home/apt,514,Entire guest suite,2,1.0,1.0,$120.00,False
34127668,100126387,120.0,Sunset,Entire home/apt,199,Entire guest suite,2,1.0,1.0,$120.00,False
34176785,4995004,158.0,Downtown Eastside,Entire home/apt,138,Entire condo,2,1.0,1.0,$158.00,False
34253916,258620582,160.0,Kensington-Cedar Cottage,Entire home/apt,76,Entire guest suite,4,2.0,1.0,$160.00,False
34258439,31240662,127.0,Riley Park,Entire home/apt,309,Entire guest suite,5,2.0,1.0,$127.00,False
34278849,62943934,142.0,Renfrew-Collingwood,Entire home/apt,157,Entire guest suite,6,3.0,2.0,$142.00,False
34314864,321947,86.0,Grandview-Woodland,Private room,98,Private room in home,1,1.0,2.0,$86.00,False
34417665,182110861,146.0,Dunbar Southlands,Private room,69,Private room in villa,4,2.0,1.0,$146.00,False
34418103,147167124,170.0,Downtown,Entire home/apt,242,Entire rental unit,6,2.0,2.0,$170.00,False
34478325,21979733,146.0,Fairview,Entire home/apt,345,Entire townhouse,2,0.0,1.0,$146.00,False
34534702,41746903,100.0,Downtown,Entire home/apt,2,Entire condo,2,1.0,1.0,$100.00,False
34543718,18978000,65.0,Grandview-Woodland,Private room,134,Private room in home,2,1.0,1.0,$65.00,False
34567366,391461580,165.0,Hastings-Sunrise,Entire home/apt,49,Entire home,2,1.0,1.0,$165.00,False
34576151,39021349,76.0,Riley Park,Private room,61,Private room in home,1,1.0,1.0,$76.00,False
34578927,260916083,126.0,Kitsilano,Entire home/apt,458,Entire guest suite,2,1.0,1.0,$126.00,False
34579108,260918128,209.0,Riley Park,Entire home/apt,117,Entire guest suite,2,1.0,1.0,$209.00,False
34655839,1536721,116.0,Riley Park,Private room,113,Private room in home,2,1.0,1.0,$116.00,False
34656258,20083641,101.0,Downtown,Entire home/apt,0,Entire condo,3,1.0,1.0,$101.00,False
34680160,81451515,91.0,Grandview-Woodland,Private room,36,Private room in rental unit,2,1.0,1.0,$91.00,False
34874854,4169999,232.0,Kitsilano,Entire home/apt,21,Entire townhouse,4,2.0,2.0,$232.00,False
34895728,263019124,121.0,Downtown,Entire home/apt,4,Entire rental unit,2,1.0,1.0,$121.00,False
34903179,168217258,400.0,West End,Entire home/apt,100,Entire condo,6,3.0,2.0,$400.00,False
34937868,263264899,177.0,Downtown,Entire home/apt,120,Entire condo,4,1.0,1.0,$177.00,False
35005178,17629594,160.0,Downtown,Entire home/apt,13,Entire condo,2,1.0,1.0,$160.00,False
35010597,30899,222.0,Kerrisdale,Entire home/apt,0,Entire condo,4,2.0,2.0,$222.00,False
35038809,182110861,140.0,Dunbar Southlands,Entire home/apt,72,Entire guest suite,6,2.0,1.0,$140.00,False
35044405,154211456,114.0,Riley Park,Entire home/apt,18,Entire guest suite,4,2.0,1.0,$114.00,False
35054701,154407807,95.0,Sunset,Entire home/apt,0,Entire home,2,1.0,1.0,$95.00,False
35090765,79137483,320.0,West End,Entire home/apt,58,Entire condo,4,2.0,2.0,$320.00,False
35091087,6523532,124.0,Riley Park,Entire home/apt,141,Entire guest suite,4,1.0,1.0,$124.00,False
35164437,262601866,138.0,Downtown,Entire home/apt,25,Entire condo,2,1.0,1.0,$138.00,False
35164633,11917534,93.0,Renfrew-Collingwood,Entire home/apt,229,Entire guest suite,2,1.0,1.0,$93.00,False
35189312,264984269,138.0,Kitsilano,Entire home/apt,119,Entire home,4,2.0,1.5,$138.00,False
35190461,62931740,155.0,Downtown Eastside,Entire home/apt,448,Entire guest suite,2,0.0,1.0,$155.00,False
35194928,99230711,213.0,West End,Entire home/apt,152,Entire rental unit,3,1.0,1.0,$213.00,False
35198788,90704424,108.0,Hastings-Sunrise,Private room,74,Private room in home,2,1.0,1.0,$108.00,False
35222652,50500908,184.0,Downtown,Entire home/apt,304,Entire condo,3,1.0,1.0,$184.00,False
35262401,265469731,193.0,Downtown,Entire home/apt,370,Entire condo,4,1.0,1.0,$193.00,False
35357365,7074827,298.0,Downtown,Entire home/apt,11,Entire condo,4,2.0,2.5,$298.00,False
35419651,266567641,236.0,Kitsilano,Entire home/apt,138,Entire guest suite,6,2.0,1.0,$236.00,False
